Emotions,Path,Duration
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_back_angry.wav,1.5390349799295486
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bar_angry.wav,1.6166134185303513
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_base_angry.wav,1.5420250675841731
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bath_angry.wav,1.6068649135741788
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bean_angry.wav,1.3951830916687147
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_beg_angry.wav,1.5461620381748178
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bite_angry.wav,1.4306135823707709
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_boat_angry.wav,1.326574916031785
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bone_angry.wav,1.6654378635209306
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_book_angry.wav,1.5300647169656754
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_bought_angry.wav,1.4338084705496845
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_burn_angry.wav,1.6866142377324487
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_cab_angry.wav,1.457032850004096
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_calm_angry.wav,1.490906856721553
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_came_angry.wav,1.6347177848775294
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_cause_angry.wav,1.695830261325469
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_chain_angry.wav,1.6010485786843613
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_chair_angry.wav,1.6135004505611534
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_chalk_angry.wav,1.3952240517735726
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_chat_angry.wav,1.4478168264110756
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_check_angry.wav,1.6461866142377324
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_cheek_angry.wav,1.681821905464078
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_chief_angry.wav,1.6238223969853363
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_choice_angry.wav,1.5256819857458834
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_cool_angry.wav,1.4862374047677562
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dab_angry.wav,1.5671745719669041
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_date_angry.wav,1.4569099696895225
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dead_angry.wav,1.4826329155402638
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_death_angry.wav,1.6462275743425903
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_deep_angry.wav,1.6120668468911281
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dime_angry.wav,1.6754730892111085
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dip_angry.wav,1.4326206275088065
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_ditch_angry.wav,1.5464487589088227
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dodge_angry.wav,1.6458589333988696
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_dog_angry.wav,1.6904235274842303
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_doll_angry.wav,1.6325878594249201
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_door_angry.wav,1.5396903416072745
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_fail_angry.wav,1.5534529368395182
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_fall_angry.wav,1.4274186941918572
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_far_angry.wav,1.509297943802736
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_fat_angry.wav,1.564102564102564
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_fit_angry.wav,1.6016220201523717
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_five_angry.wav,1.5922831162447777
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_food_angry.wav,1.5340378471368887
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_gap_angry.wav,1.5921192758253462
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_gas_angry.wav,1.6492176619972148
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_gaze_angry.wav,1.6900139264356517
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_germ_angry.wav,1.4823052347014007
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_get_angry.wav,1.6449578110919965
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_gin_angry.wav,1.5747931514704678
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_goal_angry.wav,1.519906610960924
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_good_angry.wav,1.4945523060539034
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_goose_angry.wav,1.5305971983288278
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_gun_angry.wav,1.5410420250675843
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_half_angry.wav,1.6955435405914638
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hall_angry.wav,1.5029491275497666
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hash_angry.wav,1.6957073810108954
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hate_angry.wav,1.4840255591054312
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_have_angry.wav,1.652535430490702
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_haze_angry.wav,1.5615630376013763
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hire_angry.wav,1.5070860981404113
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hit_angry.wav,1.3566396329974604
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hole_angry.wav,1.6704349963135905
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_home_angry.wav,1.4447857786515934
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hurl_angry.wav,1.6019497009912345
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_hush_angry.wav,1.5469402801671173
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_jail_angry.wav,1.472597689850086
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_jar_angry.wav,1.5581633488981732
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_join_angry.wav,1.6129679691980012
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_judge_angry.wav,1.7258540181862865
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_jug_angry.wav,1.5497665274023102
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_juice_angry.wav,1.601130498894077
angry,../data/tess/TESS Toronto emotional speech set data/OAF_angry\OAF_keen_angry.wav,1.7127877447366264
